Latitude,Longitude,q1,q2,q3,q4,Classification,responseList,Keywords_2,Keywords,Keywords_3,Keywords_Vect
52.2843,-1.53489,1.0,0.2,0.2,0.2,unsafe,"This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.","[('terrible dark', 0.7726), ('dark', 0.53), ('unlit roads', 0.4342), ('unlit', 0.3458), ('roads route', 0.2632)]","[('terrible', 0.6186), ('dark', 0.53), ('unlit', 0.3458), ('roads', 0.3104), ('route', 0.1826)]","[('terrible dark unlit', 0.8118), ('roads route terrible', 0.7452), ('dark', 0.53), ('unlit roads', 0.4342), ('roads route', 0.2632)]","[('unlit roads', 0.4342), ('route', 0.1826)]"
52.28377,-1.5404,3.0,0.8,0.8,0.2,safe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.","[('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('public', 0.1818), ('times route', 0.0321)]","[('busy', 0.3785), ('unsafe', 0.3211), ('cars', 0.3133), ('public', 0.1818), ('route', 0.003)]","[('cars feel unsafe', 0.7099), ('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('times route', 0.0321)]","[('cars', 0.3133), ('public', 0.1818), ('lot', 0.1286), ('times', 0.0115), ('route', 0.003)]"
52.2866,-1.54848,4.0,0.6,0.8,0.4,safe,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,"[('park nice', 0.6938), ('safe', 0.4375), ('scenic', 0.416), ('busy daytime', 0.3986), ('route walk', 0.3301)]","[('park', 0.4643), ('safe', 0.4375), ('daytime', 0.3958), ('walk', 0.2866), ('busy', 0.218)]","[('walk park nice', 0.7759), ('daytime felt safe', 0.6322), ('park', 0.4643), ('busy daytime', 0.3986), ('route', 0.0843)]","[('scenic route', 0.5427), ('park', 0.4643), ('daytime', 0.3958), ('walk', 0.2866), ('felt', 0.1426)]"
52.29140349999999,-1.5782611,3.0,0.4,0.4,0.2,safe,Walking near the park at night meant there was little lighting and no access to public spaces.; Walking near the park at night meant there was little lighting and no access to public spaces.,"[('little lighting', 0.4558), ('park night', 0.4455), ('walking near', 0.248), ('access public', 0.1453), ('lighting', 0.1286)]","[('night', 0.3618), ('park', 0.2183), ('walking', 0.2139), ('little', 0.1727), ('lighting', 0.1286)]","[('night meant little', 0.5424), ('near park night', 0.5276), ('walking near park', 0.4015), ('walking', 0.2139), ('access public', 0.1453)]","[('little lighting', 0.4558), ('night', 0.3618), ('park', 0.2183), ('public spaces', 0.2169), ('access', 0.023)]"
52.28624,-1.53316,3.0,0.6,0.4,0.2,safe,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.","[('isolated road', 0.7717), ('long isolated', 0.6521), ('road', 0.5312), ('route long', 0.4862), ('lighting', 0.3005)]","[('isolated', 0.57), ('road', 0.5312), ('long', 0.454), ('route', 0.3725), ('lighting', 0.3005)]","[('long isolated road', 0.8514), ('lack lighting route', 0.7515), ('road', 0.5312), ('long', 0.454), ('lighting', 0.3005)]","[('isolated road', 0.7717), ('lack', 0.5557), ('route', 0.3725), ('lighting', 0.3005)]"
52.2818,-1.53485,2.5,0.5,0.4,0.2,unsafe,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.; Quiet route  with no public services available","[('road lack', 0.7677), ('road', 0.4159), ('route long', 0.3626), ('lighting route', 0.2673), ('services available', 0.1481)]","[('quiet', 0.5817), ('road', 0.4159), ('long', 0.3444), ('public', 0.2912), ('lighting', 0.2089)]","[('road lack lighting', 0.8534), ('long isolated', 0.6125), ('road', 0.4159), ('lighting route long', 0.3704), ('available', 0.115)]","[('isolated road', 0.7589), ('lack', 0.5561), ('route', 0.2682), ('public services', 0.2376), ('lighting', 0.2089)]"
52.28959,-1.55339,2.0,0.4,0.4,0.6,unsafe,The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.; The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.,"[('away shops', 0.4378), ('busy route', 0.2991), ('shops public', 0.2677), ('hospital nearby', 0.2667), ('overall preferred', 0.1806)]","[('isolated', 0.3072), ('busy', 0.1983), ('hospital', 0.1886), ('shops', 0.1568), ('nearby', 0.1452)]","[('away shops public', 0.5348), ('overall preferred busy', 0.3259), ('hospital nearby', 0.2667), ('safe', 0.2519), ('spaces hospital', 0.2223)]","[('busy route', 0.2991), ('public spaces', 0.2023), ('hospital', 0.1886), ('shops', 0.1568), ('route', 0.0445)]"
52.2851,-1.56291,4.0,0.6,0.8,0.4,safe,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,"[('park nice', 0.6938), ('safe', 0.4375), ('scenic', 0.416), ('busy daytime', 0.3986), ('route walk', 0.3301)]","[('park', 0.4643), ('safe', 0.4375), ('daytime', 0.3958), ('walk', 0.2866), ('busy', 0.218)]","[('walk park nice', 0.7759), ('daytime felt safe', 0.6322), ('park', 0.4643), ('busy daytime', 0.3986), ('route', 0.0843)]","[('scenic route', 0.5427), ('park', 0.4643), ('daytime', 0.3958), ('walk', 0.2866), ('felt', 0.1426)]"
52.2762849,-1.5356019,2.0,0.6,0.4,0.2,unsafe,I hated the walk alongside the cemetery - was creepy and made me feel unsafe. I would have preferred a route with more people around; I hated the walk alongside the cemetery - was creepy and made me feel unsafe. I would have preferred a route with more people around,"[('cemetery creepy', 0.6262), ('hated walk', 0.5738), ('unsafe preferred', 0.4399), ('alongside cemetery', 0.2049), ('route people', 0.0444)]","[('hated', 0.3773), ('creepy', 0.3719), ('cemetery', 0.2036), ('walk', 0.0711), ('preferred', 0.0167)]","[('people hated walk', 0.6875), ('alongside cemetery creepy', 0.5495), ('unsafe preferred', 0.4399), ('walk alongside cemetery', 0.2595), ('alongside', -0.0963)]","[('cemetery', 0.2036), ('more people', 0.0775), ('walk', 0.0711), ('route', -0.052)]"
52.28728,-1.53574,4.0,0.6,0.8,0.4,safe,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,"[('park nice', 0.6938), ('safe', 0.4375), ('scenic', 0.416), ('busy daytime', 0.3986), ('route walk', 0.3301)]","[('park', 0.4643), ('safe', 0.4375), ('daytime', 0.3958), ('walk', 0.2866), ('busy', 0.218)]","[('walk park nice', 0.7759), ('daytime felt safe', 0.6322), ('park', 0.4643), ('busy daytime', 0.3986), ('route', 0.0843)]","[('scenic route', 0.5427), ('park', 0.4643), ('daytime', 0.3958), ('walk', 0.2866), ('felt', 0.1426)]"
52.28541,-1.55786,3.0,0.8,0.8,0.2,safe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.","[('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('public', 0.1818), ('times route', 0.0321)]","[('busy', 0.3785), ('unsafe', 0.3211), ('cars', 0.3133), ('public', 0.1818), ('route', 0.003)]","[('cars feel unsafe', 0.7099), ('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('times route', 0.0321)]","[('cars', 0.3133), ('public', 0.1818), ('lot', 0.1286), ('times', 0.0115), ('route', 0.003)]"
52.28725,-1.53562,4.0,0.6,0.8,0.4,safe,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,"[('park nice', 0.6938), ('safe', 0.4375), ('scenic', 0.416), ('busy daytime', 0.3986), ('route walk', 0.3301)]","[('park', 0.4643), ('safe', 0.4375), ('daytime', 0.3958), ('walk', 0.2866), ('busy', 0.218)]","[('walk park nice', 0.7759), ('daytime felt safe', 0.6322), ('park', 0.4643), ('busy daytime', 0.3986), ('route', 0.0843)]","[('scenic route', 0.5427), ('park', 0.4643), ('daytime', 0.3958), ('walk', 0.2866), ('felt', 0.1426)]"
52.2899,-1.53796,2.0,0.6,0.4,0.4,unsafe,"The route was fairly well-lit, but it was quite far from  the main high street so I felt less safe.; The route was fairly well-lit, but it was quite far from  the main high street so I felt less safe.","[('street felt', 0.3053), ('felt safe', 0.2017), ('main high', 0.1687), ('lit quite', 0.1426), ('route', 0.0461)]","[('street', 0.2276), ('safe', 0.1887), ('high', 0.1745), ('lit', 0.088), ('main', 0.044)]","[('street felt safe', 0.381), ('high street felt', 0.3128), ('far main high', 0.2326), ('street', 0.2276), ('lit quite', 0.1426)]","[('main high street', 0.2607), ('route', 0.0461)]"
52.28806,-1.56727,3.0,0.8,0.8,0.2,safe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.","[('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('public', 0.1818), ('times route', 0.0321)]","[('busy', 0.3785), ('unsafe', 0.3211), ('cars', 0.3133), ('public', 0.1818), ('route', 0.003)]","[('cars feel unsafe', 0.7099), ('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('times route', 0.0321)]","[('cars', 0.3133), ('public', 0.1818), ('lot', 0.1286), ('times', 0.0115), ('route', 0.003)]"
52.28694,-1.53704,3.0,0.5,0.7,0.4,safe,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; I don't enjoy walking by the park at night - too many drunk people and too dark,"[('park night', 0.5096), ('safe scenic', 0.3543), ('busy daytime', 0.3394), ('drunk people', 0.2793), ('walking', 0.1626)]","[('park', 0.2887), ('night', 0.2437), ('drunk', 0.2222), ('daytime', 0.2163), ('walking', 0.1626)]","[('walking park night', 0.6695), ('park nice busy', 0.609), ('daytime felt safe', 0.4056), ('drunk people', 0.2793), ('don', -0.0618)]","[('scenic route', 0.3551), ('many drunk people', 0.2972), ('night', 0.2437), ('daytime', 0.2163), ('walk', 0.1401)]"
52.27543,-1.52666,4.0,0.8,0.8,0.4,safe,The route felt fairly safe with some access to public spaces.; The route felt fairly safe with some access to public spaces.,"[('safe access', 0.8528), ('felt fairly', 0.6885), ('public', 0.5552), ('route felt', 0.5215), ('spaces route', 0.463)]","[('safe', 0.7503), ('public', 0.5552), ('felt', 0.46), ('spaces', 0.4411), ('route', 0.3972)]","[('fairly safe access', 0.8703), ('public spaces route', 0.5572), ('access public', 0.5137), ('spaces route', 0.463), ('felt', 0.46)]","[('public spaces', 0.6254), ('access', 0.4339), ('route', 0.3972)]"
52.28681,-1.56078,4.0,0.6,0.8,0.4,safe,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,"[('park nice', 0.6938), ('safe', 0.4375), ('scenic', 0.416), ('busy daytime', 0.3986), ('route walk', 0.3301)]","[('park', 0.4643), ('safe', 0.4375), ('daytime', 0.3958), ('walk', 0.2866), ('busy', 0.218)]","[('walk park nice', 0.7759), ('daytime felt safe', 0.6322), ('park', 0.4643), ('busy daytime', 0.3986), ('route', 0.0843)]","[('scenic route', 0.5427), ('park', 0.4643), ('daytime', 0.3958), ('walk', 0.2866), ('felt', 0.1426)]"
52.2948,-1.53725,2.0,0.6,0.4,0.4,unsafe,"The route was fairly well-lit, but it was quite far from  the main high street so I felt less safe.; The route was fairly well-lit, but it was quite far from  the main high street so I felt less safe.","[('street felt', 0.3053), ('felt safe', 0.2017), ('main high', 0.1687), ('lit quite', 0.1426), ('route', 0.0461)]","[('street', 0.2276), ('safe', 0.1887), ('high', 0.1745), ('lit', 0.088), ('main', 0.044)]","[('street felt safe', 0.381), ('high street felt', 0.3128), ('far main high', 0.2326), ('street', 0.2276), ('lit quite', 0.1426)]","[('main high street', 0.2607), ('route', 0.0461)]"
52.27632,-1.5322,4.0,0.8,0.8,0.4,safe,The route felt fairly safe with some access to public spaces.; The route felt fairly safe with some access to public spaces.,"[('safe access', 0.8528), ('felt fairly', 0.6885), ('public', 0.5552), ('route felt', 0.5215), ('spaces route', 0.463)]","[('safe', 0.7503), ('public', 0.5552), ('felt', 0.46), ('spaces', 0.4411), ('route', 0.3972)]","[('fairly safe access', 0.8703), ('public spaces route', 0.5572), ('access public', 0.5137), ('spaces route', 0.463), ('felt', 0.46)]","[('public spaces', 0.6254), ('access', 0.4339), ('route', 0.3972)]"
52.28503,-1.53542,1.0,0.2,0.2,0.2,unsafe,"This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.","[('terrible dark', 0.7726), ('dark', 0.53), ('unlit roads', 0.4342), ('unlit', 0.3458), ('roads route', 0.2632)]","[('terrible', 0.6186), ('dark', 0.53), ('unlit', 0.3458), ('roads', 0.3104), ('route', 0.1826)]","[('terrible dark unlit', 0.8118), ('roads route terrible', 0.7452), ('dark', 0.53), ('unlit roads', 0.4342), ('roads route', 0.2632)]","[('unlit roads', 0.4342), ('route', 0.1826)]"
52.28789,-1.54591,4.0,0.6,0.8,0.4,safe,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,"[('park nice', 0.6938), ('safe', 0.4375), ('scenic', 0.416), ('busy daytime', 0.3986), ('route walk', 0.3301)]","[('park', 0.4643), ('safe', 0.4375), ('daytime', 0.3958), ('walk', 0.2866), ('busy', 0.218)]","[('walk park nice', 0.7759), ('daytime felt safe', 0.6322), ('park', 0.4643), ('busy daytime', 0.3986), ('route', 0.0843)]","[('scenic route', 0.5427), ('park', 0.4643), ('daytime', 0.3958), ('walk', 0.2866), ('felt', 0.1426)]"
52.2875364,-1.541341,2.0,0.4,0.6,0.2,unsafe,The route was poorly lit and there were lots of drunk people around; The route was poorly lit and there were lots of drunk people around,"[('drunk people', 0.7913), ('lots drunk', 0.7309), ('poorly lit', 0.5515), ('lit lots', 0.2952), ('route', 0.0877)]","[('drunk', 0.6861), ('poorly', 0.4299), ('lots', 0.2078), ('lit', 0.1536), ('route', 0.0877)]","[('lots drunk people', 0.7978), ('drunk', 0.6861), ('route poorly lit', 0.5859), ('lit lots', 0.2952), ('route', 0.0877)]","[('drunk people', 0.7913), ('lots', 0.2078), ('route', 0.0877)]"
52.27641,-1.52057,3.0,0.6,0.6,0.2,safe,"Well-lit street, was quite busy with other members of public.; Well-lit street, was quite busy with other members of public.","[('lit street', 0.7497), ('busy members', 0.6292), ('members public', 0.5889), ('lit', 0.4973), ('quite', 0.3242)]","[('street', 0.5627), ('public', 0.5542), ('busy', 0.5319), ('lit', 0.4973), ('members', 0.3455)]","[('public lit street', 0.7701), ('street quite busy', 0.7673), ('quite busy members', 0.6288), ('members public', 0.5889), ('quite', 0.3242)]","[('street', 0.5627), ('public', 0.5542), ('other members', 0.4653)]"
52.28444,-1.53546,1.75,0.3,0.25,0.2,unsafe,"This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; The route felt fairly safe with some street lighting, however there was nobody around at this time of night.; The route did not feel safe at all. I had to walk through a park by myself and felt helpless if anything were to happen.","[('terrible dark', 0.6785), ('unlit roads', 0.478), ('lighting time', 0.1792), ('fairly safe', 0.1667), ('walk park', 0.1284)]","[('terrible', 0.4964), ('night', 0.4037), ('roads', 0.2567), ('lighting', 0.1831), ('park', 0.0876)]","[('terrible dark unlit', 0.7617), ('lighting time night', 0.4559), ('street lighting', 0.319), ('safe walk park', 0.1856), ('route did', 0.0656)]","[('unlit roads', 0.478), ('night', 0.4037), ('street lighting', 0.319), ('park', 0.0876), ('anything', 0.0439)]"
52.28617,-1.55979,4.0,0.6,0.8,0.4,safe,The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.; The walk through the park is nice and busy in the daytime. Felt very safe and was a scenic route.,"[('park nice', 0.6938), ('safe', 0.4375), ('scenic', 0.416), ('busy daytime', 0.3986), ('route walk', 0.3301)]","[('park', 0.4643), ('safe', 0.4375), ('daytime', 0.3958), ('walk', 0.2866), ('busy', 0.218)]","[('walk park nice', 0.7759), ('daytime felt safe', 0.6322), ('park', 0.4643), ('busy daytime', 0.3986), ('route', 0.0843)]","[('scenic route', 0.5427), ('park', 0.4643), ('daytime', 0.3958), ('walk', 0.2866), ('felt', 0.1426)]"
52.28582,-1.53308,3.0,0.6,0.4,0.2,safe,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.","[('isolated road', 0.7717), ('long isolated', 0.6521), ('road', 0.5312), ('route long', 0.4862), ('lighting', 0.3005)]","[('isolated', 0.57), ('road', 0.5312), ('long', 0.454), ('route', 0.3725), ('lighting', 0.3005)]","[('long isolated road', 0.8514), ('lack lighting route', 0.7515), ('road', 0.5312), ('long', 0.454), ('lighting', 0.3005)]","[('isolated road', 0.7717), ('lack', 0.5557), ('route', 0.3725), ('lighting', 0.3005)]"
52.29094,-1.57684,2.5,0.6,0.6,0.4,unsafe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was isolated as it was far away from shops and any public spaces. The hospital was nearby which made me feel more safe but overall would have preferred a more busy route.","[('busy route', 0.3729), ('hospital nearby', 0.2311), ('cars', 0.1932), ('isolated', 0.1011), ('shops', 0.0952)]","[('unsafe', 0.2223), ('cars', 0.1932), ('hospital', 0.1045), ('shops', 0.0952), ('nearby', 0.0527)]","[('cars feel unsafe', 0.586), ('away shops public', 0.4198), ('hospital nearby', 0.2311), ('lot cars', 0.2222), ('times route', -0.0546)]","[('busy route', 0.3729), ('cars', 0.1932), ('hospital', 0.1045), ('shops', 0.0952), ('times', -0.1172)]"
52.28051,-1.53824,3.0,0.6,0.4,0.2,safe,"There was a long, isolated road with a lack of lighting on the route.; There was a long, isolated road with a lack of lighting on the route.","[('isolated road', 0.7717), ('long isolated', 0.6521), ('road', 0.5312), ('route long', 0.4862), ('lighting', 0.3005)]","[('isolated', 0.57), ('road', 0.5312), ('long', 0.454), ('route', 0.3725), ('lighting', 0.3005)]","[('long isolated road', 0.8514), ('lack lighting route', 0.7515), ('road', 0.5312), ('long', 0.454), ('lighting', 0.3005)]","[('isolated road', 0.7717), ('lack', 0.5557), ('route', 0.3725), ('lighting', 0.3005)]"
52.28776,-1.56568,3.0,0.8,0.8,0.2,safe,"The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.; The route was busy with the public, but there was a lot of cars which made me feel unsafe at times.","[('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('public', 0.1818), ('times route', 0.0321)]","[('busy', 0.3785), ('unsafe', 0.3211), ('cars', 0.3133), ('public', 0.1818), ('route', 0.003)]","[('cars feel unsafe', 0.7099), ('busy public', 0.5604), ('lot cars', 0.3592), ('unsafe', 0.3211), ('times route', 0.0321)]","[('cars', 0.3133), ('public', 0.1818), ('lot', 0.1286), ('times', 0.0115), ('route', 0.003)]"
52.28514,-1.53637,1.0,0.2,0.2,0.2,unsafe,"This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.; This route was terrible - had to go through dark, unlit roads.","[('terrible dark', 0.7726), ('dark', 0.53), ('unlit roads', 0.4342), ('unlit', 0.3458), ('roads route', 0.2632)]","[('terrible', 0.6186), ('dark', 0.53), ('unlit', 0.3458), ('roads', 0.3104), ('route', 0.1826)]","[('terrible dark unlit', 0.8118), ('roads route terrible', 0.7452), ('dark', 0.53), ('unlit roads', 0.4342), ('roads route', 0.2632)]","[('unlit roads', 0.4342), ('route', 0.1826)]"
