Feedback,Sentiment,Keywords
"""The lights in the park make it feel safe at night.""",Positive,"""lights"", ""safe"""
"""The back alley is too dark and feels dangerous.""",Negative,"""dark"", ""dangerous"""
"""Love how the main road is always busy and well-lit.""",Positive,"""busy"", ""well-lit"""
"""The parking lot is not safe at night, no lights.""",Negative,"""not safe"", ""no lights"""
"""The subway station is clean and feels secure because of the guards.""",Positive,"""clean"", ""secure"", ""guards"""
"""Walking past the construction site is scary, very quiet.""",Negative,"""scary"", ""quiet"""
"""The neighborhood streets have security cameras, feels much safer.""",Positive,"""security cameras"", ""safer"""
"""The bridge at night is a no-go, feels too isolated.""",Negative,"""no-go"", ""isolated"""
"""The community center is great, well-lit and always people around.""",Positive,"""well-lit"", ""people around"""
"""The path through the woods is not recommended, very dark.""",Negative,"""not recommended"", ""dark"""
"""The shopping area is lively at night, good lighting.""",Positive,"""lively"", ""good lighting"""
"""The underground passage feels unsafe, needs more lights.""",Negative,"""unsafe"", ""needs more lights"""
"""The park has emergency call points, which is reassuring.""",Positive,"""emergency call points"", ""reassuring"""
"""The side street next to the bar is sketchy at night.""",Negative,"""sketchy"""
"""The waterfront area is fantastic at night, very secure.""",Positive,"""fantastic"", ""secure"""
"""Busy streets at night make me feel safe.""",Positive,"""busy streets"", ""safe"""
"""The lot behind the diner is too dark at night.""",Negative,"""dark"""
"""Police patrols in the area add to the feeling of safety.""",Positive,"""police patrols"", ""safety"""
"""The old bridge feels risky due to lack of lights.""",Negative,"""risky"", ""lack of lights"""
"""The central plaza is great, full of life and secure.""",Positive,"""full of life"", ""secure"""
"""Narrow alleys without lights are scary to pass through.""",Negative,"""narrow alleys"", ""scary"""
"""The park's new lighting system makes evening walks enjoyable.""",Positive,"""new lighting"", ""enjoyable"""
"""Abandoned buildings make the street feel unsafe.""",Negative,"""abandoned buildings"", ""unsafe"""
"""The presence of street performers at night is comforting.""",Positive,"""street performers"", ""comforting"""
"""Areas without CCTV feel less secure to me.""",Negative,"""without CCTV"", ""less secure"""
"""The riverside is beautiful and well-patrolled at night.""",Positive,"""beautiful"", ""well-patrolled"""
"""Lack of public presence makes the square feel deserted.""",Negative,"""lack of public presence"", ""deserted"""
"""Well-lit jogging paths are why I love this neighborhood.""",Positive,"""well-lit"", ""jogging paths"""
"""The underpass is dingy and often has loiterers.""",Negative,"""dingy"", ""loiterers"""
"""The outdoor mall is vibrant and feels safe at all hours.""",Positive,"""vibrant"", ""safe"""
"""Dim streetlights on Main St. make it a hotspot for muggings.""",Negative,"""dim streetlights"", ""hotspot for muggings"""
"""The new pedestrian zone is always lively and feels very safe.""",Positive,"""lively"", ""safe"""
"""The bike trail is too secluded, making it feel dangerous.""",Negative,"""secluded"", ""dangerous"""
"""The city's night market is a safe place to hang out after dark.""",Positive,"""night market"", ""safe"""
"""The stairway leading to the metro is poorly lit and eerie.""",Negative,"""poorly lit"", ""eerie"""
"""The new park benches have security cameras, adding safety.""",Positive,"""security cameras"", ""safety"""
"""The side roads are too quiet at night, making them unnerving.""",Negative,"""quiet"", ""unnerving"""
"""The area around the library is well-lit, making it a safe spot.""",Positive,"""well-lit"", ""safe spot"""
"""The tunnel connecting the districts is dark and smells bad.""",Negative,"""dark"", ""smells bad"""
"""The open-air market is secure, with police always nearby.""",Positive,"""secure"", ""police nearby"""
"""The parking area near the docks feels isolated and risky.""",Negative,"""isolated"", ""risky"""
"""The children's playground is brightly lit and always active.""",Positive,"""brightly lit"", ""active"""
"""The footbridge at night has no lights, feels very unsafe.""",Negative,"""no lights"", ""unsafe"""
"""The newly opened caf√© extends the lively area into the night.""",Positive,"""newly opened caf√©"", ""lively"""
"""The bus stop lacks a shelter and is away from the main road.""",Negative,"""lacks shelter"", ""away from main road"""
"""The waterfront gets patrolled regularly, making it secure.""",Positive,"""patrolled regularly"", ""secure"""
"""The alley next to the cinema is a magnet for shady activities.""",Negative,"""alley"", ""shady activities"""
"""The local gym's parking lot is well-lit and monitored.""",Positive,"""well-lit"", ""monitored"""
"""The path leading to the park is overgrown and neglected.""",Negative,"""overgrown"", ""neglected"""
"""The main square has a vibrant night life and is very safe.""",Positive,"""vibrant night life"", ""safe"""
"""The construction area is not fenced off, posing a danger.""",Negative,"""not fenced off"", ""danger"""
"""The night buses are frequent, making late travel feel safer.""",Positive,"""night buses"", ""safer"""
"""The old mill area is avoided by locals due to its bad reputation.""",Negative,"""avoided"", ""bad reputation"""
"""The city garden is a popular spot, well-maintained and safe.""",Positive,"""popular spot"", ""well-maintained"", ""safe"""
"""The dim lighting on College Street makes it a target for theft.""",Negative,"""dim lighting"", ""target for theft"""
"""The city center is bustling and has plenty of open cafes at night.""",Positive,"""bustling"", ""open cafes"""
"""The new underpass is poorly designed; it's dark and not welcoming.""",Negative,"""poorly designed"", ""dark"""
"""Street musicians in the pedestrian area make it feel alive and safe.""",Positive,"""street musicians"", ""alive"", ""safe"""
"""The small park by the station is unkempt and feels unsafe at night.""",Negative,"""unkempt"", ""unsafe"""
"""The waterfront has been renovated and now has great night lighting.""",Positive,"""renovated"", ""great night lighting"""
"""The shortcut through the alley is quick but feels risky after dark.""",Negative,"""quick"", ""risky"""
"""The area near the university is well-lit and patrolled, very safe for students.""",Positive,"""well-lit"", ""patrolled"", ""safe"""
"""The old warehouse district is deserted at night and a bit intimidating.""",Negative,"""deserted"", ""intimidating"""
"""The local diner stays open late and the area is always lively and secure.""",Positive,"""open late"", ""lively"", ""secure"""
"""The parking behind the mall has no surveillance and is very dimly lit.""",Negative,"""no surveillance"", ""dimly lit"""
"""The night view at the bridge is stunning, with security always on patrol.""",Positive,"""stunning"", ""security"""
"""The back entrance of the shopping center is rarely lit, feels very dodgy.""",Negative,"""rarely lit"", ""dodgy"""
"""The presence of food trucks in the square at night makes it a safe gathering spot.""",Positive,"""food trucks"", ""safe"""
"""The walking path next to the canal is too secluded for comfort after sunset.""",Negative,"""secluded"", ""after sunset"""
"""The train station area has improved with new lights and active patrols.""",Positive,"""new lights"", ""active patrols"""
"""The parking lot next to the cinema needs better lighting and security.""",Negative,"""needs better lighting"", ""security"""
"""The festival in the city park brings everyone together, making it feel very secure.""",Positive,"""festival"", ""secure"""
"""The alleyways near the old mill are notorious for being unsafe at any time.""",Negative,"""notorious"", ""unsafe"""
"""The newly installed pedestrian crossings have made the downtown area safer.""",Positive,"""newly installed"", ""safer"""
"""The area around the abandoned factory is a no-go zone due to safety concerns.""",Negative,"""no-go zone"", ""safety concerns"""
"""The community garden stays well-lit throughout the night, offering a safe haven.""",Positive,"""well-lit"", ""safe haven"""
"""The stretch of road behind the school is pitch dark at night, very intimidating.""",Negative,"""pitch dark"", ""intimidating"""
"""The local coffee shop's outdoor seating is always lively, even late at night.""",Positive,"""lively"", ""late at night"""
"""The underpass near the river is graffiti-ridden and lacks proper lighting.""",Negative,"""graffiti-ridden"", ""lacks proper lighting"""
"""The square has become a popular spot for night markets, well-secured and lit.""",Positive,"""popular spot"", ""well-secured"", ""lit"""
"""The small lane next to the bakery feels unsafe due to its narrowness and shadows.""",Negative,"""feels unsafe"", ""narrowness"", ""shadows"""
"""The waterfront area is beautifully lit and patrolled, making it perfect for night walks.""",Positive,"""beautifully lit"", ""patrolled"""
"""The bus terminal area lacks visibility at night, making waiting for a bus uneasy.""",Negative,"""lacks visibility"", ""uneasy"""
"""The open mic nights at the central plaza create a warm and safe atmosphere.""",Positive,"""open mic nights"", ""safe atmosphere"""
"""The dimly lit paths in the botanical gardens make evening visits not advisable.""",Negative,"""dimly lit"", ""not advisable"""
"""The art installations in the park make it a safe, engaging place at night.""",Positive,"""art installations"", ""safe"""
"""Crossing the industrial area at night is risky with minimal street lighting.""",Negative,"""risky"", ""minimal street lighting"""
"""The weekend night market is bustling, with plenty of lights and security.""",Positive,"""bustling"", ""security"""
"""The staircases in the public garage are poorly lit and feel very secluded.""",Negative,"""poorly lit"", ""secluded"""
"""The riverside walk at night is my favorite, feels safe with the new lights.""",Positive,"""favorite"", ""new lights"""
"""The area near the old docks is desolate after dark, not a safe place to be.""",Negative,"""desolate"", ""not a safe place"""
"""The main boulevard is vibrant at night thanks to the street performers.""",Positive,"""vibrant"", ""street performers"""
"""The parking spaces behind the theater are dark and give off an unsafe vibe.""",Negative,"""dark"", ""unsafe vibe"""
"""The city's efforts to light up the walking paths have made a huge difference.""",Positive,"""light up"", ""huge difference"""
"""The alley behind the restaurants is cluttered and poorly lit, avoiding it.""",Negative,"""cluttered"", ""poorly lit"""
"""The public squares are now filled with life after sunset, thanks to local events.""",Positive,"""filled with life"", ""local events"""
"""The footpath through the forest park is too dark and quiet, not recommended.""",Negative,"""too dark"", ""not recommended"""
"""The outdoor cinema nights in the park are a safe and fun community event.""",Positive,"""outdoor cinema"", ""safe"", ""fun"""
"""The multi-story car park lacks security cameras on several floors, feels unsafe.""",Negative,"""lacks security cameras"", ""feels unsafe"""
"""The renovated square with its fountains and lights has become a night-time favorite.""",Positive,"""renovated"", ""night-time favorite"""
"""The walkway under the bridge is a hotspot for graffiti and lacks adequate lighting.""",Negative,"""hotspot for graffiti"", ""lacks adequate lighting"""
"""The night guards at the museum make the whole area feel more secure and watched.""",Positive,"""night guards"", ""secure"""
"""The secluded benches in the park are hidden away and not safe at night.""",Negative,"""secluded"", ""not safe"""
"""The light festival downtown brings everyone out and makes the city feel alive.""",Positive,"""light festival"", ""alive"""
"""The old factory area is fenced off but still attracts questionable activity at night.""",Negative,"""questionable activity"""
"""The plaza is well-equipped with emergency call stations, making it feel secure.""",Positive,"""emergency call stations"", ""secure"""
"""The narrow path next to the canal is completely unlit, posing a safety risk.""",Negative,"""unlit"", ""safety risk"""
"""Security patrols in the residential areas at night have improved safety.""",Positive,"""security patrols"", ""improved safety"""
"""The bike racks near the subway station are in a dark spot, worrying for cyclists.""",Negative,"""dark spot"", ""worrying"""
"""The installation of bright LED lights along the jogging path is a welcome change.""",Positive,"""bright LED lights"", ""welcome change"""
"""The derelict building at the end of the street is a magnet for unsavory characters.""",Negative,"""derelict building"", ""unsavory characters"""
"""The community's effort to organize night patrols has made our streets safer.""",Positive,"""night patrols"", ""streets safer"""
"""The lack of surveillance cameras in the parking areas is a glaring oversight.""",Negative,"""lack of surveillance cameras"", ""glaring oversight"""
"""The newly opened / convenience store adds a sense of security to the neighborhood.""",Positive,"""/ convenience store"", ""sense of security"""
"""Walking through the tunnel between the parks feels unsafe due to poor maintenance.""",Negative,"""feels unsafe"", ""poor maintenance"""
"""The lit walkways in the garden district encourage evening walks and socializing.""",Positive,"""lit walkways"", ""encourage evening walks"""
"""The side entrance of the library is poorly illuminated, making it a no-go area at night.""",Negative,"""poorly illuminated"", ""no-go area"""
"""The presence of friendly neighborhood watch volunteers at night boosts community spirit.""",Positive,"""neighborhood watch"", ""community spirit"""
"""The parking deck's stairwells have broken lights, creating dark spots that feel risky.""",Negative,"""broken lights"", ""dark spots"", ""risky"""
"""The seasonal decorations and lighting in the main square create a magical night-time atmosphere.""",Positive,"""seasonal decorations"", ""magical night-time atmosphere"""
"""The lot next to the old warehouse is often used for illegal dumping, making it unsafe.""",Negative,"""illegal dumping"", ""unsafe"""
"""The increase in street festivals has brought more life and safety to the downtown area.""",Positive,"""street festivals"", ""more life"", ""safety"""
"""The underused parking lot behind the grocery store is a concern for vehicle break-ins.""",Negative,"""underused parking lot"", ""concern"", ""vehicle break-ins"""
"""The waterfront promenade's new design includes ample lighting and seating, inviting evening visitors.""",Positive,"""ample lighting"", ""inviting evening visitors"""
"""The wooded area by the school is not well-lit, discouraging use after dusk.""",Negative,"""not well-lit"", ""discouraging use"""
"""The annual night fair brings energy and light to the downtown, enhancing safety.""",Positive,"""night fair"", ""energy"", ""safety"""
"""The dimly lit underpass near the stadium feels like a trap at night, very unsafe.""",Negative,"""dimly lit underpass"", ""trap"", ""unsafe"""
"""Having more cafes open late has made the neighborhood more lively and secure.""",Positive,"""cafes open late"", ""lively"", ""secure"""
"""The parking lot's exit is hidden and poorly lit, making it scary to use after hours.""",Negative,"""hidden exit"", ""poorly lit"", ""scary"""
"""The public art installations are well-lit, adding charm and security to the area.""",Positive,"""public art"", ""well-lit"", ""security"""
"""The bus stops lack proper lighting, making them unwelcoming at night.""",Negative,"""lack proper lighting"", ""unwelcoming"""
"""The new skate park is a hit, filled with kids and families until late, very safe.""",Positive,"""skate park"", ""filled with kids"", ""safe"""
"""The shortcut through the abandoned lot is risky, especially due to its isolation.""",Negative,"""shortcut"", ""risky"", ""isolation"""
"""The installation of public Wi-Fi in parks has encouraged more people to visit after dark.""",Positive,"""public Wi-Fi"", ""encouraged"""
"""The narrow bridge connecting the neighborhoods lacks any form of surveillance.""",Negative,"""narrow bridge"", ""lacks surveillance"""
"""Local artists' murals have transformed the once-dull alley into a vibrant walkway.""",Positive,"""local artists"", ""vibrant walkway"""
"""The old playground is now avoided due to its state of disrepair and lack of lighting.""",Negative,"""state of disrepair"", ""lack of lighting"""
"""The seasonal night markets in the city center are well-organized and feel incredibly safe.""",Positive,"""seasonal night markets"", ""well-organized"", ""safe"""
"""The walkway along the river is beautiful but becomes eerily quiet and dark too early.""",Negative,"""eerily quiet"", ""dark"""
"""The addition of a community center has revitalized the neighborhood, making it safer.""",Positive,"""community center"", ""revitalized"", ""safer"""
"""The lot next to the library is a known spot for vandalism, especially at night.""",Negative,"""known spot for vandalism"""
"""The city's main avenue is bustling with night life, thanks to the extended shop hours.""",Positive,"""bustling with night life"", ""extended shop hours"""
"""The construction site is not secured at night, leading to frequent trespassing.""",Negative,"""not secured"", ""frequent trespassing"""
"""The newly paved walking path is scenic and equipped with emergency phones, very reassuring.""",Positive,"""newly paved"", ""emergency phones"", ""reassuring"""
"""The pedestrian tunnel linking the parks is notorious for poor maintenance and graffiti.""",Negative,"""pedestrian tunnel"", ""poor maintenance"", ""graffiti"""
"""The square's open mic nights offer a safe and lively environment for everyone.""",Positive,"""open mic nights"", ""safe"", ""lively"""
"""The newly constructed bridge lacks pedestrian lights, making it a concern at night.""",Negative,"""lacks pedestrian lights"", ""concern"""
"""Outdoor seating at cafes along Main Street has increased foot traffic and safety.""",Positive,"""outdoor seating"", ""increased foot traffic"", ""safety"""
"""The parking area by the riverfront is too secluded and lacks proper security measures.""",Negative,"""too secluded"", ""lacks proper security"""
"""The annual cultural festival lights up the downtown area, creating a safe, festive atmosphere.""",Positive,"""cultural festival"", ""safe"", ""festive atmosphere"""
"""The pathway behind the community hall is unlit and has become a hotspot for petty crimes.""",Negative,"""unlit"", ""hotspot for petty crimes"""
"""The presence of street art along the alleyways has brightened and secured the area.""",Positive,"""street art"", ""brightened"", ""secured"""
"""The disused lot next to the supermarket is poorly lit and attracts unsavory activities at night.""",Negative,"""poorly lit"", ""unsavory activities"""
"""The local park's renovation includes safety features like better lighting and security cameras.""",Positive,"""better lighting"", ""security cameras"""
"""The stairway leading to the plaza is in disrepair and poorly lit, posing a risk.""",Negative,"""in disrepair"", ""poorly lit"", ""posing a risk"""
"""The waterfront's night scene is vibrant, with live music and patrolled areas.""",Positive,"""vibrant"", ""live music"", ""patrolled"""
"""The alley next to the high school is notorious for being unsafe after dark.""",Negative,"""notorious"", ""unsafe"""
"""The addition of a dog park has made the neighborhood more lively and secure.""",Positive,"""dog park"", ""lively"", ""secure"""
"""The underground parking at the mall feels claustrophobic and lacks surveillance.""",Negative,"""claustrophobic"", ""lacks surveillance"""
"""The city's effort to install more public benches has made streets more welcoming.""",Positive,"""more public benches"", ""welcoming"""
"""The crosswalks in the business district are not well-marked, leading to safety concerns.""",Negative,"""not well-marked"", ""safety concerns"""
"""Nighttime farmers' markets in the city center are a hit, offering both safety and local produce.""",Positive,"""farmers' markets"", ""safety"", ""local produce"""
"""The bike lane ending abruptly on Elm Street is dangerous, especially at night.""",Negative,"""bike lane ending abruptly"", ""dangerous"""
"""The art gallery's late hours bring a cultured crowd and ensure the area stays safe.""",Positive,"""late hours"", ""cultured crowd"", ""safe"""
"""The dim lighting in the subway's entrance creates an unwelcoming atmosphere for commuters.""",Negative,"""dim lighting"", ""unwelcoming atmosphere"""
"""The renovated alleyway with new murals and lights has become a popular shortcut, feeling much safer now.   """,Positive,"""safer"", ""lights"", ""renovated alleyway"", ""popular"""
"""Late-night bus services have improved, but the stops still need better lighting and security.""",Negative,"""need better lighting"", ""security"", ""late-night"", ""bus services"""
"""The installation of speed bumps on residential streets has slowed traffic, making the neighborhood safer for pedestrians.""",Positive,"""speed bumps"", ""safer"", ""residential"""
"""Despite the park's recent makeover, the lack of regular patrols leaves some areas feeling unsafe at night.""",Negative,"""unsafe"", ""lack of patrols"", ""night"""
"""The community's initiative to start a neighborhood watch program has significantly improved safety feelings among residents.""",Positive,"""improved"", ""safety"", ""neighbourhood watch"""
"""The introduction of bike-sharing stations has made the downtown area more accessible, though some stations in remote areas feel less secure.""",Negative,"""remote areas"", ""less secure"""
"""The local council's decision to close certain streets to traffic at night has been controversial, with some arguing it reduces safety by limiting access.""",Negative,"""limiting access"", ""reduces safety"", ""night"""
"""The new sports complex is well-equipped and secure, offering a safe environment for evening activities.""",Positive,"""sports complex"",  ""secure"", ""safe environment"""
"""Some subway stations have introduced art exhibitions, creating a more inviting and perceived safe atmosphere.""",Positive,"""art exhibitions"", ""inviting"", ""safe atmosphere"""
"""The construction of a new pedestrian bridge over the highway has been delayed, leaving the temporary path feeling unsafe and inconvenient.""",Negative,"""temporary path"", ""unsafe"", ""inconvenient"""
"""Areas around the university have seen an increase in security measures, but some external parts still suffer from poor lighting and infrequent patrols.""",Negative,"""external"", ""poor lighting"", ""infreqeunt patrols"""
"""The opening of a 24-hour convenience store in the neighborhood has been a positive change, providing a sense of activity and safety at all hours.""",Positive,"""24-hour"", ""safety"", ""activity"""
"""A recent initiative to plant more trees and create green spaces has beautified the city but has also created poorly lit areas that concern some citizens.""",Negative,"""poorly lit"", ""concern"""
"""The waterfront has been revitalized with walking paths and cafes, though some sections remain isolated and raise safety concerns after dark.""",Negative,"""after dark"", ""isolated"", ""safety concerns"""
"""Efforts to clean up the industrial district have been successful during the day, but at night, the area still feels deserted and intimidating.""",Negative,"""at night"", ""deserted"", ""intimidating"""
"""The city's bike lanes are a great addition, but the lack of lighting along certain stretches makes night riding feel risky.""",Negative,"""lack of lighting"", ""night riding"", ""risky"""
"""The old town's charm attracts tourists, but the narrow, crowded streets can feel overwhelming and less secure at peak times.""",Negative,"""narrow"", ""crowded"", ""less secure"""
"""Public libraries extending their hours have made the areas around them feel safer and more lively in the evenings.""",Positive,"""extending hours"", ""safer"", ""more lively"", ""evenings"""
"""The annual summer night festival boosts the local economy and safety by bringing in additional lighting and security.""",Positive,"""lighting"", ""security"", ""safety"""
"""Despite improvements in street lighting, the maze of back alleys in the historic district remains daunting for visitors and locals alike.""",Negative,"""back alleys"", ""daunting"""
"†""Walking through Central Park at night felt surprisingly safe, thanks to the well-lit paths and visible security presence.""",Positive,"""well-lit paths"", ""visible security"""
"""The alleyway behind the library gives off a sketchy vibe after sunset because of the poor lighting and lack of foot traffic.""",Negative,"""poor lighting"", ""lack of foot traffic"""
"""The new pedestrian zone in downtown is fantastic! It's always crowded, and the bright street art makes it feel welcoming and safe.""",†Positive,"""crowded"", ""bright street art"", ""welcoming"""
"""I avoid the underpass near the train station. It's dark and isolated, making it feel really unsafe at any time of day.""",Negative,"""dark"", ""isolated"", ""unsafe"""
"†""The river walk is my favorite route for evening jogs because of the consistent patrol by local police and the community watch signs posted around.""",Positive,"""consistent patrol"", ""community watch signs"""
"""The parking lot next to the old warehouse is a no-go zone for me. It's not well-lit, and there have been several reports of theft.""",Negative,"""not well-lit"", ""reports of theft"""
"""The main street is safe to walk at night; it's well-lit, and there are always people around. Plus, the local shops stay open late.""",Positive,"""well-lit"", ""always people around"", ""shops stay open late"""
"""The stretch of road between the park and the subway station feels unsafe due to the lack of streetlights and the overgrown bushes along the sidewalk.""",Negative,"""lack of streetlights"", ""overgrown bushes"""
